Customer ID,Age,Gender,Annual Income,Spending Score
1,30,Male,151479,89
2,58,Female,185088,95
3,62,Female,70912,76
4,23,Male,55460,57
5,24,Male,153752,76
6,42,Male,158335,40
7,27,Female,163501,37
8,24,Male,70476,17
9,83,Male,47743,34
10,62,Female,63448,3
11,37,Male,170566,75
12,63,Female,89355,80
13,25,Male,87576,17
14,32,Female,159892,96
15,51,Female,135079,87
16,64,Female,32869,81
17,19,Male,198682,82
18,89,Male,38708,97
19,65,Male,87270,3
20,26,Male,45518,12
21,21,Male,199879,49
22,70,Male,163828,36
23,24,Male,109188,6
24,39,Female,48212,36
25,61,Male,141596,45
26,19,Female,192492,57
27,79,Male,109550,7
28,61,Female,38132,15
29,73,Female,170959,55
30,58,Male,80731,23
31,90,Female,123085,25
32,39,Female,135748,95
33,35,Female,71372,52
34,79,Male,164259,96
35,57,Female,105742,7
36,76,Male,189412,87
37,40,Male,64309,62
38,82,Female,84966,66
39,84,Female,35701,5
40,56,Female,43376,52
41,21,Female,118137,43
42,55,Male,77165,86
43,24,Male,119922,80
44,45,Male,82425,39
45,28,Male,149778,15
46,67,Female,129484,80
47,69,Female,73479,77
48,26,Female,81259,29
49,45,Male,147126,1
50,39,Female,44774,12
51,27,Female,198647,25
52,58,Female,85181,16
53,46,Male,87741,3
54,45,Female,137494,68
55,63,Female,56531,2
56,36,Male,63564,23
57,25,Female,198265,29
58,62,Male,22655,39
59,36,Male,125614,35
60,48,Female,170509,54
61,50,Female,101081,32
62,48,Female,45667,95
63,49,Female,189732,2
64,80,Female,30718,49
65,33,Female,134933,90
66,21,Male,55978,34
67,38,Female,36650,91
68,83,Female,173558,53
69,54,Female,29187,61
70,81,Female,188612,45
71,44,Male,101492,55
72,23,Male,169008,31
73,39,Female,145660,81
74,75,Female,118063,35
75,19,Female,95891,93
76,24,Male,154402,79
77,44,Female,112848,14
78,55,Female,127451,31
79,60,Male,98827,27
80,33,Male,67969,27
81,52,Female,60785,9
82,72,Female,66416,53
83,72,Male,152544,59
84,72,Female,35507,72
